138,1,1,-5,-2,1,0,-1,1
139,2,15,17,-4,-4,-3,1,-2
140,3,6,-5,1,0,3,0,0
141,-2,3,14,3,0,0,0,1
142,0,-10,8,2,1,-2,0,1
143,2,10,9,-7,-3,-3,-3,-4
144,-7,-30,-23,-11,-4,-2,-2,-2
145,0,20,8,2,-3,-2,-1,-2
146,3,16,-15,2,-1,1,-1,0
147,-4,-10,-44,1,2,-1,0,-1
148,-6,-6,43,-5,-8,-3,-2,-2
149,8,8,17,10,6,4,3,5
150,-4,-3,-10,-28,-9,-8,-6,-2
151,0,6,-35,7,1,2,1,1
152,-5,-2,4,3,0,-1,-2,-4
153,-3,-19,-25,2,1,-1,-1,-4
154,7,23,34,6,1,0,-4,-2
155,1,-5,-4,13,8,0,2,2
156,-1,1,8,-4,-5,-2,-6,-1
157,1,1,12,-1,2,2,5,3
158,3,3,13,2,1,1,3,0
159,0,18,5,-7,-4,-1,-1,1
160,2,10,15,12,8,4,2,1
161,0,0,29,9,4,4,11,4
162,-5,-4,-11,-8,-2,-2,0,-3
163,3,18,-8,3,-7,-2,5,0
164,3,-15,-11,-2,-1,4,12,3
165,0,-3,19,14,9,0,-10,1
166,0,-2,23,-1,-1,-6,-16,-8
167,-6,-19,11,16,2,0,6,3
168,5,26,4,-9,-5,0,-1,-1
169,4,6,10,-1,2,0,-6,0
170,-3,0,-15,4,3,1,-2,-1
171,-7,-14,-20,-13,-5,-10,-24,-10
172,-4,-16,-10,-4,-1,-1,2,-3
173,-3,-10,-33,-14,-5,-2,11,4
174,-7,-8,-15,-1,-4,-5,-4,-3
175,-1,-3,-13,-7,7,3,2,-3
176,-2,0,15,-3,-1,3,8,4
177,-5,-35,-50,-23,-13,-12,-41,-15
178,5,-4,1,9,0,1,9,3
179,3,-30,-12,-3,-2,1,8,7
180,-1,13,5,-9,-6,-8,-27,-12
181,3,6,14,-5,-6,0,4,1
182,2,14,2,8,-3,-2,-7,0
183,5,17,27,-2,-2,3,13,10
184,-6,-14,6,-11,-3,-2,1,-6
185,5,-5,18,6,0,1,13,8
186,0,10,-2,-2,-5,-6,-18,-8
187,9,15,-1,4,0,-5,-9,-1
188,-12,-18,-5,-7,9,9,4,-5
189,5,-10,-7,-5,-10,2,7,2
190,4,-8,-26,4,-4,-5,-9,-3
191,-9,-5,-20,-5,3,-7,-12,-21
192,11,19,22,8,4,3,1,3
193,-18,-13,9,-2,4,0,43,8
194,-1,-1,-21,-14,-6,-3,-27,-11
195,-5,6,29,9,0,0,10,10
196,-13,-21,-37,-34,-14,-4,8,-6
197,14,-17,-17,-36,-14,-11,-18,-3
198,-4,9,68,66,21,5,-10,4
199,29,-8,-28,-2,-7,-12,-17,13
200,-6,18,-1,15,14,10,42,14
201,17,14,-23,-28,12,7,30,20
202,-24,-25,11,1,-2,2,-1,-20
203,-13,-51,17,15,3,-12,-39,-18
204,16,-21,-39,-30,-2,7,20,19
205,-60,-9,-27,21,10,-7,-6,-10
206,33,10,-15,13,3,9,7,2
207,-6,17,36,-9,-6,5,5,-12
208,-8,-8,11,7,6,-6,-33,-12
209,-19,15,13,-9,-10,1,66,27
210,41,28,16,32,3,9,21,25
211,-4,-23,104,-10,-23,9,44,15
212,-1,0,-5,-2,5,-6,11,2
213,24,21,-2,40,2,-6,-44,-21
214,-18,9,-61,-30,0,17,75,19
215,-33,2,-26,-47,-20,-19,-54,-43
216,-5,2,-95,10,27,7,17,7
217,-13,-38,-55,-27,-11,-4,-27,-11
218,3,7,7,-34,-24,-18,-96,-37
219,20,15,-38,-9,-6,-10,-9,6
220,-78,-18,58,-6,-18,-34,-49,-65
221,-32,-65,62,-17,-31,7,50,18
222,48,25,-31,15,24,-13,-41,-6
223,-15,-3,115,-1,-28,-11,4,-2
224,-14,-1,-21,10,5,15,37,11
225,-10,2,-29,42,37,9,4,3
226,64,80,-1,8,33,47,121,74
227,0,-29,20,17,-15,-18,-57,-54
228,-43,-24,4,-42,-23,4,13,12
229,25,-29,59,38,40,9,-6,-9
230,-2,-118,-91,-21,11,14,43,25
231,-18,18,16,-23,11,13,29,15
232,48,26,-10,-12,-9,-31,-128,-45
233,-63,-16,-64,-58,-23,6,15,-28
234,22,-15,-7,31,6,11,66,37
235,8,17,-19,7,12,16,32,20
236,-10,3,28,21,-23,-7,-3,-8
237,3,28,26,32,-4,3,44,17
238,-34,-3,10,31,5,-2,-12,-43
239,-38,-28,-22,-26,-20,-39,-100,-80
240,-17,-7,15,-1,1,6,9,3
241,11,1,17,-8,7,6,0,6
242,11,-20,35,-70,-22,9,35,17
243,18,-24,-31,-44,-8,4,2,17
244,-4,85,-101,5,23,5,0,16
245,-29,0,48,15,-12,-29,-65,-52
246,-6,2,12,-2,-8,1,13,3
247,-18,-18,42,37,15,-1,-3,-10
248,17,-14,-30,-12,-14,-1,10,11
249,20,-25,-62,-4,13,13,43,26
250,-45,-35,27,-9,-5,5,-14,-11
251,-14,6,-6,4,-7,-12,73,14
252,4,28,35,-8,-2,9,34,20
253,4,-20,3,-11,6,10,7,10
254,52,6,-23,6,6,3,7,14
255,14,13,72,30,9,-5,1,3
256,-36,-23,10,7,-2,-18,-68,-31
257,-4,33,5,-2,-8,-13,-74,-44
258,-19,-38,-17,-29,-7,15,54,19
259,-17,3,22,17,20,1,3,-18
260,17,-13,11,1,-3,-8,-5,1
261,-5,8,-62,-25,-7,-1,1,1
262,4,-5,-9,12,6,-8,19,8
263,-1,5,-5,25,3,6,12,9
264,-2,-9,28,-13,-6,4,18,9
265,11,-4,-22,-2,4,-3,-4,-4
266,4,-12,3,0,-2,4,8,3
267,1,6,-1,-2,-1,-1,-2,0
268,-5,-21,-12,-6,-3,3,8,0
269,-5,-11,21,-12,-8,5,2,-14
270,-21,-8,20,36,17,7,19,4
271,31,28,-35,15,18,7,22,24
272,1,-1,12,8,-4,-7,-12,-7
273,9,-3,5,5,-6,-2,2,5
274,-10,76,-6,-12,-6,-12,13,1
275,-5,50,13,-7,-6,-3,2,-1
276,-9,24,1,8,2,-6,-12,-6
277,1,-94,1,12,1,1,-1,0
278,-18,-114,12,18,8,-3,-16,-13
279,-10,-22,7,-16,-9,1,-16,-12
280,11,-42,-2,-1,-3,-2,10,1
281,-5,-109,0,2,5,4,-3,-2
282,8,78,9,1,2,7,-6,-1
283,-7,74,-13,-4,-2,-3,0,0
284,4,47,5,1,1,1,-1,2
285,-4,24,5,-1,-5,0,1,-3
286,-16,-17,12,8,4,-5,-5,-5
287,1,-14,-21,13,4,-1,-3,-1
288,19,22,18,-3,-5,-3,0,-1
289,-9,-5,-5,-8,-2,0,2,-2
290,-1,-17,-1,4,-2,-3,-2,0
291,-4,-13,-7,-10,-2,1,0,-2
292,-4,-12,-17,-7,-3,-9,1,-4
293,-2,3,-7,-3,-3,2,-1,2
294,-6,-5,3,-4,-2,0,-2,-3
295,-3,8,-8,0,-3,0,1,0
296,2,5,-8,-7,-2,-4,-2,-1
297,-3,-7,13,-2,1,-2,-2,-1
298,-5,3,-28,-6,-2,-2,-3,-4
299,-4,-15,-5,-14,-10,-4,-2,-2
300,1,4,34,1,-2,-2,0,0
301,0,-6,-30,1,2,-2,-2,-1
302,-1,0,11,-3,2,0,-3,-2
303,0,4,11,-2,-2,-2,-2,-3
304,2,-1,-3,2,-1,2,2,2
305,-3,-4,-23,1,0,-2,-2,-2
306,-1,-10,3,-3,-2,-1,0,-1
307,0,2,-15,2,0,1,0,1
308,-2,-12,-43,7,2,0,-1,-1
309,3,4,18,-5,-2,0,-1,-1
