92,-51,-25,127,1,-9,19,82,35
93,12,9,16,48,24,15,-13,14
94,89,0,-34,-29,-10,-40,-55,-21
95,-17,27,70,9,-16,-21,-25,-7
96,-22,34,55,-17,-26,-15,-64,-62
97,-63,10,40,-15,-18,-10,-14,-9
98,32,-8,-107,-11,15,-3,14,3
99,-30,17,37,-21,6,20,46,2
100,74,10,82,-1,-13,36,99,60
101,-44,19,74,-22,12,16,22,12
102,-60,-19,-77,33,-22,-18,-36,-21
103,39,0,-64,10,56,25,48,33
104,-2,19,126,17,-21,5,-11,13
105,-30,-25,-16,-6,-33,-54,-80,-54
106,1,4,26,-19,-11,12,29,48
107,61,-12,-14,49,31,12,46,23
108,8,-40,-127,-5,35,20,31,21
109,44,19,86,11,-49,-17,-15,-8
110,76,6,-62,-51,-30,-42,-77,-69
111,50,-3,9,-24,3,68,127,94
112,-40,-28,-1,-36,-27,-24,-45,-39
113,24,20,42,33,18,30,29,31
114,51,17,45,-55,-36,-8,-7,14
115,-26,-36,-22,6,25,41,82,21
116,-13,2,-24,-25,-25,-44,-82,-34
117,-30,4,-13,9,-5,-1,44,20
118,-2,-8,51,-39,-10,2,-13,-18
119,37,25,-5,81,42,28,74,55
120,67,-18,-30,-78,-4,3,-6,4
121,-29,-4,42,32,32,16,3,10
122,8,-15,-38,45,29,-1,-10,-5
123,12,1,-19,-43,-1,-2,-7,6
124,-6,5,56,57,7,6,-2,-12
125,42,6,-7,-37,-27,-4,33,18
126,-39,9,-21,13,2,-1,-11,2
127,12,12,-1,17,17,0,-43,-2
128,5,1,-1,7,-20,-19,-17,6
129,12,-16,-29,24,23,13,21,-4
130,40,9,42,-60,-19,-5,-16,1
131,2,-7,-20,-9,-4,-7,5,4
132,32,-14,-20,-3,-15,-34,-98,-58
133,9,5,-21,18,15,3,32,13
134,-4,1,-31,0,-3,6,-6,-6
135,-31,-1,-7,0,-2,4,6,-3
136,9,-7,-5,-10,-9,2,4,14
137,14,4,-9,9,4,3,11,8
138,5,0,0,3,-1,-26,-47,-9
139,-21,1,3,-4,-3,1,9,5
140,19,0,-36,-34,-21,3,-6,-15
141,29,0,11,32,28,9,22,12
142,-22,2,19,32,19,6,6,2
143,2,1,-1,21,19,8,7,1
144,1,0,6,-8,-10,-9,-8,4
145,7,2,4,-26,-17,-3,15,6
146,15,-9,-20,-22,-15,-11,-17,2
147,-18,-9,0,0,1,14,5,-4
148,19,1,3,-4,-8,-1,-9,-5
149,1,7,0,2,-1,-17,9,2
150,-8,10,3,-2,-2,-4,-14,-4
151,-4,-2,-15,-9,-6,11,35,11
152,-34,-2,9,6,1,-21,-18,-9
153,41,12,2,9,6,22,17,2
154,-16,-6,-13,-28,-9,-29,-26,-3
155,-38,-4,-22,-16,-16,-12,-32,-22
156,13,10,31,20,22,16,10,2
157,0,-2,36,30,4,4,-2,5
158,13,6,-16,27,1,1,10,9
159,-2,-4,-24,-22,13,15,18,2
160,10,-7,-4,20,9,3,0,-2
161,-6,-7,0,-14,-1,-4,-3,3
162,-2,-5,5,-16,-8,8,9,-1
163,-3,0,10,7,-5,-11,-9,-3
164,-1,4,-4,-2,-7,-3,-2,1
165,-12,-2,-13,-16,-4,0,1,-4
166,-21,-2,7,5,1,0,12,-2
167,-6,-2,14,31,9,-5,1,-1
